Title,Type,Option1 Value,Option2 Value,Variant SKU,Variant Price
Scarlet Bath Accessories,Accessories,Scarlet Mineral,Pump,LD-1314-A3-302,20
,,Scarlet Mineral,Bin,WB-1314-A3-302,45
,,Scarlet Mineral,Dish,SD-1314-A3-302,17
,,Scarlet Mineral,Jar,JAR-1314-A3-302,20
,,Scarlet Mineral,Tmblr,WB-1314-A3-302,17
Scarlet Bath Accessories,Accessories,Scarlet Linen,Pump,LD-1314-A3-404,20
,,Scarlet Linen,Bin,WB-1314-A3-404,45
,,Scarlet Linen,Dish,SD-1314-A3-404,17
,,Scarlet Linen,Jar,JAR-1314-A3-404,20
,,Scarlet Linen,Tmblr,TUM-1314-A3-404,17
Scarlet Bath Accessories,Accessories,Scarlet Grey,Pump,LD-1314-A3-203,20
,,Scarlet Grey,Bin,WB-1314-A3-203,45
,,Scarlet Grey,Dish,SD-1314-A3-203,17
,,Scarlet Grey,Jar,JAR-1314-A3-203,20
,,Scarlet Grey,Tmblr,TUM-1314-A3-203,17
Medici Bath Accessories,Accessories,Matte White,Jar,JAR-1066-A2-100,34
,,Matte White,Pump,LD-1066-A2-100,22
,,Matte White,Tmblr,TUM-1066-A2-100,18
,,Matte White,Dish,TR1-1066-A2-100,18
,,Matte White,Tray,TR2-1066-A2-100,34
Perugia Bath Accessories,Accessories,White,Pump,LD-1014-A2-100,20
,,White,Bin,WB-1014-A2-100,50
,,White,Jar,JAR-1014-A2-100,25
,,White,Tray,TR-1014-A2-100,45
,,White,Tmblr,TUM-1014-A2-100,17
Isadora Bath Robes,Bath Robes,White,S/M,'813232024276,80
,,White,L/XL,'813232024286,80
Isadora Bath Accessories,Accessories,Shiny White,Pump,LD-1152-A4-1200,20
,,Shiny White,Tmblr,TUM-1152-A4-1200,17
,,Shiny White,Jar,JAR-1152-A4-1200,20
,,Shiny White,Dish,SD-1152-A4-1200,17
Carrara Bath Accessories,Accessories,White Marble,TBH,TBH-1154-A6-100,34
,,White Marble,Box,BOX-1154-A6-100,57
,,White Marble,Tray,TR-1154-A6-100,57
Caro Bath Towel,Solids,Vintage White,Bath,BT-1204-T4-122,32
,,Vintage White,Hand,HT-1204-T4-122,18
,,Vintage White,Wash,WT-1204-T4-122,11
,,Vintage White,Set,BHWT3PC-1204-T4-122,61
Caro Bath Towel,Solids,White,Bath,BT-1204-T4-100,32
,,White,Hand,HT-1204-T4-100,18
,,White,Wash,WT-1204-T4-100,11
,,White,Set,BHWT3PC-1204-T4-100,61
Noel Bath Towel,Solids,White,Bath,BT-1436-T1-100,32
,,White,Hand,HT-1436-T1-100,18
,,White,Wash,WT-1436-T1-100,11
,,White,Set,BHWT-1129-T4-100,61
Santiago Bath Towel,Solids,White with Denim,Bath,BT-1322-T4-318,32
,,White with Denim,Hand,HT-1322-T4-318,18
,,White with Denim,Tip,WT-1322-T4-318,15
,,,,,
Santiago Bath Towel,Solids,White with Orange Punch,Bath,BT-1322-T4-1103,32
,,White with Orange Punch,Hand,HT-1322-T4-1103,18
,,White with Orange Punch,Tip,WT-1322-T4-1103,15
,,,,,
,,,,,
Santiago Bath Towel,Solids,Ivory with Mineral,Bath,BT-1322-T4-302,32
,,Ivory with Mineral,Hand,HT-1322-T4-302,18
,,Ivory with Mineral,Tip,WT-1322-T4-302,15
Santiago Bath Towel,Solids,Ivory with Mimosa,Bath,BT-1322-T4-1031,32
,,Ivory with Mimosa,Hand,HT-1322-T4-1031,18
,,Ivory with Mimosa,Tip,WT-1322-T4-1031,15
Perugia Bath Towel,Solids,White,Bath,BT-1014-T4-100,32
,,White,Hand,HT-1014-T4-100,18
,,White,Wash,WT-1014-T4-100,11
,,White,Set,BHWT-1014-T4-100,50
